chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL280642,ChEMBL_CHEMBL280642,,unknown,,,,unknown,,unknown,unknown,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989325,2025-09-05 06:28:14.989325
CHEMBL30326,ChEMBL_CHEMBL30326,,unknown,,,,unknown,,unknown,unknown,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989349,2025-09-05 06:28:14.989349
CHEMBL30821,ChEMBL_CHEMBL30821,,high,,,,medium,,high,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989373,2025-09-05 06:28:14.989374
CHEMBL281017,ChEMBL_CHEMBL281017,,high,,,,high,,high,high,,False,True,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989399,2025-09-05 06:28:14.989400
CHEMBL31724,ChEMBL_CHEMBL31724,,high,,,,medium,,low,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989425,2025-09-05 06:28:14.989425
CHEMBL31057,ChEMBL_CHEMBL31057,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989450,2025-09-05 06:28:14.989450
CHEMBL283503,ChEMBL_CHEMBL283503,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989475,2025-09-05 06:28:14.989475
CHEMBL30446,ChEMBL_CHEMBL30446,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989500,2025-09-05 06:28:14.989500
CHEMBL31788,ChEMBL_CHEMBL31788,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989525,2025-09-05 06:28:14.989525
CHEMBL448152,ChEMBL_CHEMBL448152,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989551,2025-09-05 06:28:14.989552
CHEMBL281959,ChEMBL_CHEMBL281959,,high,,,,high,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989577,2025-09-05 06:28:14.989577
CHEMBL31166,ChEMBL_CHEMBL31166,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.989602,2025-09-05 06:28:14.989602
CHEMBL30597,ChEMBL_CHEMBL30597,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989626,2025-09-05 06:28:14.989626
CHEMBL30268,ChEMBL_CHEMBL30268,,high,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.989651,2025-09-05 06:28:14.989651
